Downloaded from wid.world on 29-06-2019 at 21:30:10
Percentile;Year;"sptinc_z_IE
Pre-tax national income 
Bottom 50% | share | adults | equal split
Ireland";"sptinc_z_DE
Pre-tax national income 
Bottom 50% | share | adults | equal split
Germany";"sptinc_z_DK
Pre-tax national income 
Bottom 50% | share | adults | equal split
Denmark";"sptinc_z_FI
Pre-tax national income 
Bottom 50% | share | adults | equal split
Finland";"sptinc_z_FR
Pre-tax national income 
Bottom 50% | share | adults | equal split
France";"sptinc_z_IT
Pre-tax national income 
Bottom 50% | share | adults | equal split
Italy";"sptinc_z_NL
Pre-tax national income 
Bottom 50% | share | adults | equal split
Netherlands";"sptinc_z_NO
Pre-tax national income 
Bottom 50% | share | adults | equal split
Norway";"sptinc_z_SE
Pre-tax national income 
Bottom 50% | share | adults | equal split
Sweden";"sptinc_z_CH
Pre-tax national income 
Bottom 50% | share | adults | equal split
Switzerland"
p0p50;1971;;;;;0.2027;;;;;
p0p50;1972;;;;;0.2065;;;;;
p0p50;1973;;;;;0.2023;;;;;
p0p50;1974;;;;;0.2046;;;;;
p0p50;1975;;;;;0.2084;;;;;
p0p50;1976;;;;;0.2117;;;;;
p0p50;1977;;;;;0.2219;;;;;
p0p50;1978;;;;;0.2285;;;;;
p0p50;1979;;;;;0.233;;;;;
p0p50;1980;0.2776;0.2701;0.2847;0.2665;0.2342;0.3;0.2756;0.2846;0.3078;0.2756
p0p50;1981;0.2832;0.269;0.275;0.2623;0.2346;0.3041;0.2742;0.2908;0.3109;0.2755
p0p50;1982;0.2672;0.2704;0.2795;0.2623;0.2384;0.3041;0.2734;0.2945;0.3101;0.2751
p0p50;1983;0.259;0.2718;0.2787;0.2556;0.2304;0.3032;0.2728;0.3004;0.3097;0.2742
p0p50;1984;0.2728;0.2728;0.2801;0.2689;0.231;0.3018;0.271;0.3031;0.3116;0.2726
p0p50;1985;0.2726;0.2721;0.2787;0.2744;0.2276;0.2991;0.2686;0.3045;0.3131;0.271
p0p50;1986;0.273;0.2713;0.2821;0.2672;0.2234;0.3013;0.2689;0.3174;0.3151;0.2706
p0p50;1987;0.2714;0.2658;0.2787;0.2779;0.2207;0.2935;0.2692;0.3182;0.3141;0.2704
p0p50;1988;0.278;0.2614;0.2798;0.2772;0.2166;0.2846;0.2693;0.3229;0.3138;0.2714
p0p50;1989;0.277;0.2564;0.28;0.2778;0.2136;0.2797;0.2696;0.3289;0.3178;0.2724
p0p50;1990;0.2754;0.2564;0.2794;0.2794;0.2143;0.2803;0.2688;0.326;0.3191;0.2712
p0p50;1991;0.263;0.256;0.2812;0.2824;0.2171;0.282;0.2677;0.327;0.3107;0.2733
p0p50;1992;0.2564;0.2585;0.2814;0.2824;0.2178;0.2764;0.2665;0.3282;0.3118;0.2743
p0p50;1993;0.2631;0.2616;0.2832;0.2865;0.2132;0.2687;0.2645;0.3133;0.3081;0.2738
p0p50;1994;0.2463;0.2637;0.2831;0.2731;0.2116;0.2671;0.2653;0.3035;0.2996;0.2759
p0p50;1995;0.2586;0.2627;0.2839;0.2706;0.2088;0.2655;0.2674;0.3039;0.2975;0.2783
p0p50;1996;0.268;0.2575;0.2828;0.2699;0.2131;0.2593;0.2728;0.2968;0.2999;0.2713
p0p50;1997;0.2631;0.2538;0.2783;0.2669;0.2122;0.2597;0.2759;0.2898;0.2972;0.2657
p0p50;1998;0.2573;0.2515;0.2795;0.2701;0.2127;0.257;0.2801;0.3002;0.2992;0.2642
p0p50;1999;0.2566;0.2491;0.2744;0.2761;0.2135;0.2576;0.2824;0.2974;0.2982;0.2658
p0p50;2000;0.2516;0.2456;0.2741;0.272;0.2152;0.2554;0.2833;0.2877;0.3125;0.2645
p0p50;2001;0.2487;0.2454;0.2791;0.2759;0.2149;0.2548;0.2733;0.3016;0.3133;0.2688
p0p50;2002;0.2585;0.2412;0.2797;0.277;0.2199;0.2566;0.2701;0.299;0.3142;0.2728
p0p50;2003;0.2581;0.2431;0.2823;0.2758;0.2196;0.2571;0.268;0.2963;0.3146;0.2662
p0p50;2004;0.2462;0.239;0.285;0.2779;0.2176;0.2575;0.2641;0.2837;0.3055;0.2641
p0p50;2005;0.2401;0.2248;0.2813;0.2744;0.219;0.2587;0.2611;0.2609;0.3004;0.2596
p0p50;2006;0.2343;0.2244;0.2804;0.2728;0.2206;0.2566;0.2584;0.2869;0.2907;0.2578
p0p50;2007;0.24;0.2184;0.2823;0.2694;0.2191;0.2565;0.254;0.2842;0.2889;0.2616
p0p50;2008;0.2499;0.2149;0.2803;0.2589;0.2209;0.2581;0.2581;0.2921;0.2856;0.2633
p0p50;2009;0.2525;0.2182;0.2821;0.2564;0.2278;0.2595;0.2632;0.2967;0.2877;0.2592
p0p50;2010;0.2471;0.2158;0.2683;0.2556;0.2228;0.2563;0.2641;0.29;0.2773;0.2612
p0p50;2011;0.2329;0.2148;0.2678;0.2546;0.2202;0.2525;0.2625;0.288;0.2784;0.2618
p0p50;2012;0.2356;0.2165;0.2676;0.2549;0.225;0.2542;0.2614;0.2902;0.2863;0.2602
p0p50;2013;0.224;0.2118;0.2598;0.256;0.2245;0.2528;0.2511;0.2897;0.2818;0.2599
p0p50;2014;0.2178;0.2121;0.2541;0.2525;0.2247;0.2495;0.2468;0.287;0.2742;0.2608
p0p50;2015;0.2266;0.2114;0.2607;0.2523;;0.2508;0.2404;0.2886;0.2716;0.2573
p0p50;2016;0.2238;0.2136;0.2538;0.248;;0.2439;0.2459;0.285;0.2738;0.2557
