Country,year,ccode,Top10,Top5,Top1,Top01,Top10Can,Top5Can,Top1Can,Top01Can,Top10excap,Top10incap,Top5excap,Top5incap,Top1excap,Top1incap,Top01excap,Top01incap,Top10P,Top5P,Top1P,Top01P,Top10Pexcap,Top5Pexcap,Top1Pexcap,Top01Pexcap,Top10Pincap,Top5Pincap,Top1Pincap,Top01Pincap,Unemp,Unemployment,Taxrev,TaxICP,TaxIndICP,growth,GDPPCcur,exports,GDPdeflator,imports,GDPcons,GDPPCcons,system,execrlc,pr,rightwing,majoritarian,current_quinn,capital_quinn,epl,uc,sing3b,TopIncomeTaxRate,cellphone,computer,xlpopulation,SMC_GDP,PrivCreditGDP_MB,BDepGDP,FinDepGDP,BCred_Dep,PrivCreditGDP_MBFin,kaopen,ka_open,DFS,SM,uk_mom,frsp_mom,scan_mom,ger_mom,civ_com,rule_law,entrybarriers,bankingsuperv,securitymarkets,finreform,reform,large_reform,gini,gini_d,gini_m,SM_cap_2,SM_cap_2panel,stock_price,stocks,leftwing,Top10_5,Top10_1,Top10_01,Top5_1,Top5_01,Top1_01
"Australia",1971,1,28.24,17.59,5.92,1.25,,,,,,28.24,,17.59,,5.92,,1.25,28.24,17.59,5.92,1.25,,,,,28.24,17.59,5.92,1.25,1.6546314,1.654631,21.8,11.9,8.5,4.0081351,3488.2209,12.664417,5.1778257,12.939892,2.365e+11,18278.133,,,,0,0,56.25,50,0.30,85,,,,,13067,,20.65194,35.35757,35.35757,59.59184,20.65194,-.1173072,.4090769,,,1,0,0,0,0,10,,,,,,,30.8,,,,,6.93432,6.8618805,0,10.65,22.32,26.99,11.67,16.34,4.67
"Australia",1972,1,27.8,17.5,6.06,1.29,,,,,,27.8,,17.5,,6.06,,1.29,27.8,17.5,6.06,1.29,,,,,27.8,17.5,6.06,1.29,2.5009559,2.500956,21.4,11.5,8.2,3.9122646,3941.4826,12.830087,6.1800022,12.036079,2.457e+11,18647.288,,,,0,0,56.25,37.5,0.30,85,,,,,13304,,21.71684,37.12643,37.12643,57.54121,21.71684,-.1173072,.4090769,,,1,0,0,0,0,10,,,,,,,28.2,,,,,8.335415,9.0410208,0,10.3,21.74,26.51,11.44,16.21,4.77
"Australia",1973,1,26.74,16.73,5.67,1.17,,,,,,26.74,,16.73,,5.67,,1.17,26.74,16.73,5.67,1.17,,,,,26.74,16.73,5.67,1.17,1.7966614,1.796661,22.5,12.5,9.1,2.5983066,4760.8514,14.159862,8.9992565,11.086528,2.521e+11,18841.536,,,,0,0,56.25,37.5,0.30,85,,,,,13505,,22.68999,38.0943,38.0943,61.44515,22.68999,-.1173072,.4090769,,,1,0,0,0,0,10,0,0,2,2,,,29.1,,,,,7.793519,6.4431523,0,10.01,21.07,25.57,11.06,15.56,4.5
"Australia",1974,1,25.87,15.87,5.22,1.06,,,,,,25.87,,15.87,,5.22,,1.06,25.87,15.87,5.22,1.06,,,,,25.87,15.87,5.22,1.06,2.3482322,2.348232,24.6,14.3,10.8,4.0954744,6470.158,13.154837,16.404106,13.272691,2.624e+11,19122.964,,,,0,0,56.25,37.5,0.30,85,,,,,13723,,23.66468,36.7364,36.7364,67.61068,23.66468,-.1173072,.4090769,,,1,0,0,0,0,10,0,0,2,2,0,0,29.3,,,,,5.781894,4.4525493,0,10,20.65,24.81,10.65,14.81,4.16
"Australia",1975,1,25.54,15.65,5.13,1.1,,,,,,25.54,,15.65,,5.13,,1.1,25.54,15.65,5.13,1.1,,,,,25.54,15.65,5.13,1.1,4.5524364,4.552436,25.4,14.2,11.1,1.3374468,6989.0005,14.288728,16.470619,14.780958,2.659e+11,19141.598,2,3,1,0,0,56.25,37.5,0.30,85,,.65,0,,13893,,23.80795,35.97023,35.97023,64.84429,23.80795,-.1173072,.4090769,,,1,0,0,0,0,10,0,0,2,2,0,0,26.6,,,,,5.438358,6.4738444,1,9.890001,20.41,24.44,10.52,14.55,4.03
"Australia",1976,1,25.2,15.35,4.99,1.05,,,,,,25.2,,15.35,,4.99,,1.05,25.2,15.35,4.99,1.05,,,,,25.2,15.35,4.99,1.05,4.7265209,4.726521,25.5,14.5,11.5,2.5898516,7470.4608,13.531095,14.006819,13.422875,2.728e+11,19441.425,2,1,1,1,0,56.25,37.5,0.30,84.8,,.65,0,,14033,,23.6133,35.29271,35.29271,69.00829,23.6133,-.1173072,.4090769,,,1,0,0,0,0,10,0,0,2,2,0,0,27,,,,,6.73111,6.3444991,0,9.85,20.21,24.15,10.36,14.3,3.94
"Australia",1977,1,25.15,15.25,4.92,1.06,,,,,,25.15,,15.25,,4.92,,1.06,25.15,15.25,4.92,1.06,,,,,25.15,15.25,4.92,1.06,5.6538159,5.653816,25.4,14.6,11.5,3.6069849,7759.0088,14.030354,11.414651,14.693903,2.827e+11,19917.006,2,1,1,1,0,56.25,37.5,0.30,84.6,,.62915,0,,14192,,24.72332,34.72352,34.72352,73.47768,24.72332,-.1173072,.4090769,,,1,0,0,0,0,10,0,0,2,2,0,0,27.1,,,,,6.456029,6.7610349,0,9.9,20.23,24.09,10.33,14.19,3.86
"Australia",1978,1,25.01,15.14,4.87,1.03,,,,,,25.01,,15.14,,4.87,,1.03,25.01,15.14,4.87,1.03,,,,,25.01,15.14,4.87,1.03,6.4253532,6.425353,24.5,13.4,10.8,.89677596,8235.0058,13.636364,8.2284871,14.635124,2.852e+11,19863.282,2,1,1,1,0,56.25,50,0.30,84.4,,.615,0,,14359,,24.92564,33.5238,33.5238,75.20557,24.92564,-.1173072,.4090769,,,1,0,0,0,0,10,0,0,2,2,0,0,26.1,,,,,7.315947,7.9536429,0,9.87,20.14,23.98,10.27,14.11,3.84
"Australia",1979,1,25.17,15.2,4.83,1.02,,,,,,25.17,,15.2,,4.83,,1.02,25.17,15.2,4.83,1.02,,,,,25.17,15.2,4.83,1.02,6.2649159,6.264916,25.1,13.8,11.2,4.0534003,9274.3227,14.319592,8.6320969,15.409933,2.968e+11,20446.271,2,1,1,1,0,56.25,50,0.30,84.2,30,.6107,0,,14516,,24.96084,32.59535,32.59535,77.92982,24.96084,-.1173072,.4090769,,,1,0,0,0,0,10,0,0,2,2,0,0,26.7,,,3.895e+10,3.89e+10,9.046562,10.496704,0,9.97,20.34,24.15,10.37,14.18,3.81
"Australia",1980,1,25.39,15.31,4.79,1.02,,,,,,25.39,,15.31,,4.79,,1.02,25.39,15.31,4.79,1.02,,,,,25.39,15.31,4.79,1.02,6.1051577,6.105158,26.2,14.7,11.5,3.0513086,10187.797,16.445953,10.012519,15.96284,3.058e+11,20814.875,2,1,1,1,0,56.25,50,0.30,84,,.6,0,,14695,,25.13175,32.82898,32.82898,75.2342,25.13175,-.1173072,.4090769,,,1,0,0,0,0,10,0,0,2,2,0,0,27.8,,,5.967e+10,5.97e+10,13.70154,14.978797,0,10.08,20.6,24.37,10.52,14.29,3.77
