Country,year,Top10,Top5,Top1,Top01,Top10Can,Top5Can,Top1Can,Top01Can,Top10excap,Top10incap,Top5excap,Top5incap,Top1excap,Top1incap,Top01excap,Top01incap,Top10P,Top5P,Top1P,Top01P,Top10Pexcap,Top5Pexcap,Top1Pexcap,Top01Pexcap,Top10Pincap,Top5Pincap,Top1Pincap,Top01Pincap,Unemp,Unemployment,Taxrev,TaxICP,TaxIndICP,growth,GDPPCcur,exports,GDPdeflator,imports,GDPcons,GDPPCcons,system,execrlc,pr,rightwing,majoritarian,current_quinn,capital_quinn,epl,uc,sing3b,TopIncomeTaxRate,cellphone,computer,xlpopulation,SMC_GDP,PrivCreditGDP_MB,BDepGDP,FinDepGDP,BCred_Dep,PrivCreditGDP_MBFin,kaopen,ka_open,DFS,SM,uk_mom,frsp_mom,scan_mom,ger_mom,civ_com,rule_law,entrybarriers,bankingsuperv,securitymarkets,finreform,reform,large_reform,gini,gini_d,gini_m,SM_cap_2,SM_cap_2panel,stock_price,stocks,leftwing,Top10_5,Top10_1,Top10_01,Top5_1,Top5_01,Top1_01,country,gini_net,gini_net_se,gini_net_95ub,gini_net_95lb,gini_market,gini_market_se,gini_market_95ub,gini_market_95lb,rel_red,rel_red_se,rel_red_95ub,rel_red_95lb,abs_red,abs_red_se,abs_red_95ub,abs_red_95lb,ccode
"Australia",1971,28.24,17.59,5.9200001,1.25,,,,,,28.24,,17.59,,5.9200001,,1.25,28.24,17.59,5.9200001,1.25,,,,,28.24,17.59,5.9200001,1.25,1.6546314,1.6546314,21.8,11.9,8.5,4.0081351,3488.2209,12.664417,5.1778257,12.939892,2.365e+11,18278.133,"","",,0,0,56.25,50,.3,85,,,,,13067,,20.651939,35.357571,35.357571,59.591839,20.651939,-.11730721,.40907693,,,1,0,0,0,0,10,,,,,,,30.799999,,,,,6.93432,6.8618805,0,10.65,22.32,26.99,11.67,16.34,4.6700001,"",,,,,,,,,,,,,,,,,1
"Australia",1972,27.799999,17.5,6.0599999,1.29,,,,,,27.799999,,17.5,,6.0599999,,1.29,27.799999,17.5,6.0599999,1.29,,,,,27.799999,17.5,6.0599999,1.29,2.5009559,2.5009558,21.4,11.5,8.2,3.9122646,3941.4826,12.830087,6.1800022,12.036079,2.457e+11,18647.288,"","",,0,0,56.25,37.5,.3,85,,,,,13304,,21.716841,37.126431,37.126431,57.54121,21.716841,-.11730721,.40907693,,,1,0,0,0,0,10,,,,,,,28.200001,,,,,8.335415,9.0410208,0,10.299999,21.74,26.509998,11.440001,16.209999,4.77,"",,,,,,,,,,,,,,,,,1
"Australia",1973,26.74,16.73,5.6700001,1.17,,,,,,26.74,,16.73,,5.6700001,,1.17,26.74,16.73,5.6700001,1.17,,,,,26.74,16.73,5.6700001,1.17,1.7966614,1.7966614,22.5,12.5,9.1,2.5983066,4760.8514,14.159862,8.9992565,11.086528,2.521e+11,18841.536,"","",,0,0,56.25,37.5,.3,85,,,,,13505,,22.689989,38.094299,38.094299,61.445148,22.689989,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,2,,,29.1,,,,,7.793519,6.4431523,0,10.01,21.07,25.57,11.059999,15.559999,4.5,"",,,,,,,,,,,,,,,,,1
"Australia",1974,25.870001,15.87,5.2199998,1.0599999,,,,,,25.870001,,15.87,,5.2199998,,1.0599999,25.870001,15.87,5.2199998,1.0599999,,,,,25.870001,15.87,5.2199998,1.0599999,2.3482322,2.3482323,24.6,14.3,10.8,4.0954744,6470.158,13.154837,16.404106,13.272691,2.624e+11,19122.964,"","",,0,0,56.25,37.5,.3,85,,,,,13723,,23.66468,36.736401,36.736401,67.61068,23.66468,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,2,0,0,29.299999,,,,,5.781894,4.4525493,0,10.000001,20.650002,24.810001,10.65,14.809999,4.1599998,"Australia",18.435467,.78734487,19.978662,16.892271,26.301279,1.0140007,28.288721,24.313837,,,,,,,,,1
"Australia",1975,25.540001,15.65,5.1300001,1.1,,,,,,25.540001,,15.65,,5.1300001,,1.1,25.540001,15.65,5.1300001,1.1,,,,,25.540001,15.65,5.1300001,1.1,4.5524364,4.5524364,25.4,14.2,11.1,1.3374468,6989.0005,14.288728,16.470619,14.780958,2.659e+11,19141.598,"Parliamentary","Left",1,0,0,56.25,37.5,.3,85,,.65,0,,13893,,23.807949,35.97023,35.97023,64.844292,23.807949,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,2,0,0,26.6,,,,,5.438358,6.4738444,1,9.8900013,20.41,24.440001,10.52,14.549999,4.0300002,"Australia",18.409851,.77806723,19.934862,16.88484,26.331152,.99688017,28.285038,24.377266,30.070349,1.9139539,33.821697,26.318998,7.9213018,.62837434,9.152916,6.6896882,1
"Australia",1976,25.200001,15.35,4.9899998,1.05,,,,,,25.200001,,15.35,,4.9899998,,1.05,25.200001,15.35,4.9899998,1.05,,,,,25.200001,15.35,4.9899998,1.05,4.7265209,4.726521,25.5,14.5,11.5,2.5898516,7470.4608,13.531095,14.006819,13.422875,2.728e+11,19441.425,"Parliamentary","Right",1,1,0,56.25,37.5,.3,84.8,,.65,0,,14033,,23.6133,35.292709,35.292709,69.008293,23.6133,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,2,0,0,27,,,,,6.73111,6.3444991,0,9.8500004,20.210001,24.150002,10.360001,14.3,3.9399998,"Australia",21.066519,.85696864,22.746178,19.38686,30.310631,1.0918134,32.450584,28.170677,30.492765,1.5981622,33.625164,27.360367,9.244112,.61046094,10.440616,8.0476084,1
"Australia",1977,25.15,15.25,4.9200001,1.0599999,,,,,,25.15,,15.25,,4.9200001,,1.0599999,25.15,15.25,4.9200001,1.0599999,,,,,25.15,15.25,4.9200001,1.0599999,5.6538159,5.6538157,25.4,14.6,11.5,3.6069849,7759.0088,14.030354,11.414651,14.693903,2.827e+11,19917.006,"Parliamentary","Right",1,1,0,56.25,37.5,.3,84.6,,.62915,0,,14192,,24.72332,34.723518,34.723518,73.477676,24.72332,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,2,0,0,27.1,,,,,6.456029,6.7610349,0,9.8999996,20.23,24.09,10.33,14.190001,3.8600001,"",,,,,,,,,,,,,,,,,1
"Australia",1978,25.01,15.14,4.8699999,1.03,,,,,,25.01,,15.14,,4.8699999,,1.03,25.01,15.14,4.8699999,1.03,,,,,25.01,15.14,4.8699999,1.03,6.4253532,6.4253531,24.5,13.4,10.8,.89677596,8235.0058,13.636364,8.2284871,14.635124,2.852e+11,19863.282,"Parliamentary","Right",1,1,0,56.25,50,.3,84.4,,.615,0,,14359,,24.92564,33.5238,33.5238,75.205566,24.92564,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,2,0,0,26.1,,,,,7.315947,7.9536429,0,9.8699999,20.139999,23.98,10.27,14.110001,3.8399999,"Australia",25.110756,1.004915,27.080389,23.141123,36.458504,1.3382899,39.081551,33.835457,31.11212,1.7447095,34.53175,27.69249,11.347747,.82144207,12.957773,9.7377205,1
"Australia",1979,25.17,15.2,4.8299999,1.02,,,,,,25.17,,15.2,,4.8299999,,1.02,25.17,15.2,4.8299999,1.02,,,,,25.17,15.2,4.8299999,1.02,6.2649159,6.2649159,25.1,13.8,11.2,4.0534003,9274.3227,14.319592,8.6320969,15.409933,2.968e+11,20446.271,"Parliamentary","Right",1,1,0,56.25,50,.3,84.2,30,.6107,0,,14516,,24.96084,32.595348,32.595348,77.929817,24.96084,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,2,0,0,26.700001,,,3.895e+10,3.895e+10,9.046562,10.496704,0,9.9700003,20.34,24.15,10.37,14.18,3.8099999,"Australia",26.666159,.81952333,28.272425,25.059893,38.722828,1.1547236,40.986088,36.459568,31.116589,1.7177492,34.483376,27.7498,12.056668,.86424845,13.750595,10.362741,1
"Australia",1980,25.389999,15.31,4.79,1.02,,,,,,25.389999,,15.31,,4.79,,1.02,25.389999,15.31,4.79,1.02,,,,,25.389999,15.31,4.79,1.02,6.1051577,6.1051579,26.2,14.7,11.5,3.0513086,10187.797,16.445953,10.012519,15.96284,3.058e+11,20814.875,"Parliamentary","Right",1,1,0,56.25,50,.3,84,,.6,0,,14695,,25.13175,32.828979,32.828979,75.2342,25.13175,-.11730721,.40907693,,,1,0,0,0,0,10,0,0,2,2,0,0,27.799999,,,5.967e+10,5.967e+10,13.70154,14.978797,0,10.079999,20.599998,24.369999,10.52,14.290001,3.77,"",,,,,,,,,,,,,,,,,1
