Country,year,lower,middle
"Denmark",1972,,
"Denmark",1973,,
"Denmark",1974,,
"Denmark",1975,,
"Denmark",1976,,
"Denmark",1977,,
"Denmark",1978,,
"Denmark",1979,,
"Denmark",1980,.2847,.4728
"Denmark",1981,.275,.4824
"Denmark",1982,.2795,.4794
"Denmark",1983,.2787,.4703
"Denmark",1984,.2801,.4633
"Denmark",1985,.2787,.4597
"Denmark",1986,.2821,.4668
"Denmark",1987,.2787,.468
"Denmark",1988,.2798,.47
"Denmark",1989,.28,.4669
"Denmark",1990,.2794,.4661
"Denmark",1991,.2812,.4653
"Denmark",1992,.2814,.4645
"Denmark",1993,.2832,.4628
"Denmark",1994,.2831,.4568
"Denmark",1995,.2839,.4538
"Denmark",1996,.2828,.4526
"Denmark",1997,.2783,.4489
"Denmark",1998,.2795,.4513
"Denmark",1999,.2744,.4476
"Denmark",2000,.2741,.4476
"Denmark",2001,.2791,.4555
"Denmark",2002,.2797,.4577
"Denmark",2003,.2823,.4616
"Denmark",2004,.285,.4569
"Denmark",2005,.2813,.4499
"Denmark",2006,.2804,.4461
"Denmark",2007,.2823,.4503
"Denmark",2008,.2803,.4551
"Denmark",2009,.2821,.4594
"Denmark",2010,.2683,.4518
"Denmark",2011,.2678,.4399
"Denmark",2012,.2676,.4399
"Denmark",2013,.2598,.4391
"Denmark",2014,.2541,.4313
"Denmark",2015,.2607,.436
"Denmark",2016,.2538,.4274
"Finland",1971,,
"Finland",1972,,
"Finland",1973,,
"Finland",1974,,
"Finland",1975,,
"Finland",1976,,
"Finland",1977,,
"Finland",1978,,
"Finland",1979,,
"Finland",1980,.2665,.4907
"Finland",1981,.2623,.5027
"Finland",1982,.2623,.5052
"Finland",1983,.2556,.5116
"Finland",1984,.2689,.4924
"Finland",1985,.2744,.4898
"Finland",1986,.2672,.499
"Finland",1987,.2779,.4772
"Finland",1988,.2772,.4772
"Finland",1989,.2778,.4846
"Finland",1990,.2794,.492
"Finland",1991,.2824,.4967
"Finland",1992,.2824,.4972
